username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list
nikolasto,unal1,IH-Project-2017-nikolasto_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,1,0,1,0,0,0,1,1,"jquery,d3,bootstrap,"
gahormigag,unal1,IH-Project-2017-gahormigag_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
ayperezc,unal1,IH-Project-2017-ayperezc_webapp_phase3,Wed Nov 15 19:18:47 2017,0,1,"New York City Museums, ",1,1,1,0,1,1,1,1,"jquery,bootstrap,"
anferoar96,unal2,IH-Project-2017-anferoar96_webapp_phase3,Wed Nov 15 19:18:47 2017,0,1,"New York City Museums, ",1,1,1,1,1,1,1,1,"jquery,bootstrap,"
StevenEsmar,unal2,IH-Project-2017-StevenEsmar_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,1,1,1,0,0,0,1,0,
dcastanedar,unal2,IH-Project-2017-dcastanedar_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
trickyjuggler,unal2,IH-Project-2017-trickyjuggler_webapp_phase3,Wed Nov 15 19:18:47 2017,0,3,"New York City Art Galleries, School Safety Report, New York City Museums, ",1,1,1,1,1,1,1,1,"jquery,bootstrap,angular,"
DaveValencia,unal2,IH-Project-2017-DaveValencia_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
csalfonsol,unal2,IH-Project-2017-csalfonsol_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,1,1,1,1,0,0,1,1,"jquery,bootstrap,animate,"
tres-xxx,unal2,IH-Project-2017-tres-xxx_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
buendiagon,unal2,IH-Project-2017-buendiagon_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
DSFarfanF,unal2,IH-Project-2017-DSFarfanF_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
jssanchezo,unal2,IH-Project-2017-jssanchezo_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
bsdiaza,unal2,IH-Project-2017-bsdiaza_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,1,1,0,0,0,1,1,"jquery,d3,bootstrap,"
casc3798,unal2,IH-Project-2017-casc3798_webapp_phase3,Wed Nov 15 19:18:47 2017,0,1,"Zillow Home Value Searching API, ",1,1,1,0,1,1,1,1,"jquery,bootstrap,"
jsalcinar,unal2,IH-Project-2017-jsalcinar_webapp_phase3,Wed Nov 15 19:18:47 2017,0,3,"Fire Department Directory for New York State, School Safety Report, New York State Career Centers, ",1,1,1,1,1,1,1,1,"jquery,d3,bootstrap,"
Anvido,unal2,IH-Project-2017-Anvido_webapp_phase3,Wed Nov 15 19:18:47 2017,1,4,"Required Weather API, New York City Art Galleries, Fire Department Directory for New York State, New York City Museums, ",1,1,1,1,1,1,1,1,"jquery,materialize,"
Jufcardenasmo,unal2,IH-Project-2017-Jufcardenasmo_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,1,1,1,0,0,0,1,1,"bootstrap,"
federgolo,unal2,IH-Project-2017-federgolo_webapp_phase3,Wed Nov 15 19:18:47 2017,0,2,"Bicycle Routes Across New York State: Map, New York City Museums, ",0,1,1,0,0,0,1,1,"jquery,d3,bootstrap,"
serbatero,unal2,IH-Project-2017-serbatero_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,1,1,1,0,0,0,1,1,"jquery,bootstrap,animate,"
GabrielUnal,unal2,IH-Project-2017-GabrielUnal_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
diefrodriguezcha,unal2,IH-Project-2017-diefrodriguezcha_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
adcorredorm,unal2,IH-Project-2017-adcorredorm_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
jdgaitanf,unal2,IH-Project-2017-jdgaitanf_webapp_phase3,Wed Nov 15 19:18:47 2017,1,2,"Required Weather API, New York City Museums, ",1,1,1,0,0,0,1,1,"jquery,bootstrap,"
pahigueraf,unal2,IH-Project-2017-pahigueraf_webapp_phase3,Wed Nov 15 19:18:47 2017,0,5,"new york address points, Fire Department Directory for New York State, New York City Art Galleries, New York State Career Centers, New York City Museums, ",1,1,1,1,1,1,1,1,"font-awesome,jquery,d3,bootstrap,"
RafaelCruz15,unal2,IH-Project-2017-RafaelCruz15_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
gimg1859,unal2,IH-Project-2017-gimg1859_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
jannMorenoJ,unal2,IH-Project-2017-jannMorenoJ_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
dahrojasca,unal2,IH-Project-2017-dahrojasca_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
FredyRosero,unal2,IH-Project-2017-FredyRosero_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
