username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list
anferoar96,unal2,IH-Project-2017-anferoar96_webapp_phase5,Wed Nov 22 08:30:40 2017,0,1,"New York City Museums, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,"
StevenEsmar,unal2,IH-Project-2017-StevenEsmar_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,0,1,1,1,0,
dcastanedar,unal2,IH-Project-2017-dcastanedar_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
trickyjuggler,unal2,IH-Project-2017-trickyjuggler_webapp_phase5,Wed Nov 22 08:30:40 2017,1,4,"New York City Art Galleries, Required Weather API, New York City Museums, School Safety Report, ",1,1,1,1,1,1,1,1,"bootstrap,d3,jquery,"
DaveValencia,unal2,IH-Project-2017-DaveValencia_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
csalfonsol,unal2,IH-Project-2017-csalfonsol_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,1,0,0,1,1,"animate,bootstrap,jquery,"
tres-xxx,unal2,IH-Project-2017-tres-xxx_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
buendiagon,unal2,IH-Project-2017-buendiagon_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
DSFarfanF,unal2,IH-Project-2017-DSFarfanF_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
jssanchezo,unal2,IH-Project-2017-jssanchezo_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
bsdiaza,unal2,IH-Project-2017-bsdiaza_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
casc3798,unal2,IH-Project-2017-casc3798_webapp_phase5,Wed Nov 22 08:30:40 2017,0,6,"New York City Art Galleries, Bicycle Routes Across New York State: Map, Fire Department Directory for New York State, New York City Museums, Alternative Fuel Stations in New York, Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"d3,animate,bootstrap,jquery,"
jsalcinar,unal2,IH-Project-2017-jsalcinar_webapp_phase5,Wed Nov 22 08:30:40 2017,0,3,"New York State Career Centers, Fire Department Directory for New York State, School Safety Report, ",1,1,1,1,1,1,1,1,"d3,bootstrap,jquery,"
Anvido,unal2,IH-Project-2017-Anvido_webapp_phase5,Wed Nov 22 08:30:40 2017,1,5,"Required Weather API, New York City Art Galleries, NYCHA Development Data Book, New York City Museums, Fire Department Directory for New York State, ",1,1,1,1,1,1,1,1,"materialize,d3,jquery,"
Jufcardenasmo,unal2,IH-Project-2017-Jufcardenasmo_webapp_phase5,Wed Nov 22 08:30:40 2017,0,2,"New York City Art Galleries, Zillow Home Value Searching API, ",1,1,1,0,0,0,1,1,"bootstrap,animate,d3,jquery,"
federgolo,unal2,IH-Project-2017-federgolo_webapp_phase5,Wed Nov 22 08:30:40 2017,1,4,"New York City Locations Providing Seasonal Flu Vaccinations, NYCHA Development Data Book, Required Weather API, New York City Museums, ",0,1,1,0,1,1,1,1,"bootstrap,d3,jquery,"
serbatero,unal2,IH-Project-2017-serbatero_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,0,0,0,1,1,"d3,animate,bootstrap,jquery,"
GabrielUnal,unal2,IH-Project-2017-GabrielUnal_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
diefrodriguezcha,unal2,IH-Project-2017-diefrodriguezcha_webapp_phase5,Wed Nov 22 08:30:40 2017,1,4,"New York City Art Galleries, New York City Population By Boroughs, Required Weather API, New York City Museums, ",0,1,1,0,1,1,1,1,"bootstrap,jquery,"
adcorredorm,unal2,IH-Project-2017-adcorredorm_webapp_phase5,Wed Nov 22 08:30:40 2017,1,2,"Required Weather API, new york address points, ",1,1,1,1,0,0,1,1,"d3,bootstrap,jquery,"
jdgaitanf,unal2,IH-Project-2017-jdgaitanf_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
pahigueraf,unal2,IH-Project-2017-pahigueraf_webapp_phase5,Wed Nov 22 08:30:40 2017,1,7,"New York City Art Galleries, new york address points, Zillow Home Value Searching API, Fire Department Directory for New York State, New York State Career Centers, New York City Museums, Required Weather API, ",1,1,1,1,1,1,1,1,"bootstrap,d3,font-awesome,jquery,"
RafaelCruz15,unal2,IH-Project-2017-RafaelCruz15_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
gimg1859,unal2,IH-Project-2017-gimg1859_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
jannMorenoJ,unal2,IH-Project-2017-jannMorenoJ_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
dahrojasca,unal2,IH-Project-2017-dahrojasca_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,0,0,0,1,0,
FredyRosero,unal2,IH-Project-2017-FredyRosero_webapp_phase5,Wed Nov 22 08:30:40 2017,1,1,"Required Weather API, ",1,1,1,0,0,0,1,1,"bootstrap,jquery,"
